name,desciption,prix
"Barnabe,""Legal intervention involving baton, bystander injured, init"",$2.96"
"Freddy,""Nondisp Rolando's fx, unsp hand, subs for fx w malunion"",$9.88"
"Karin,""Laceration of blood vessels at ank/ft level, left leg, subs"",$5.95"
Wylie,Intraductal carcinoma in situ of breast,$3.24
Waldemar,Embolism due to genitourinary prosth dev/grft,$5.49
Jamal,Athscl nonaut bio bypass of left leg w ulcer oth prt low leg,$6.67
Alon,Displaced fracture of distal phalanx of unspecified finger,$6.08
"Julietta,""Congenital malformations of musculoskeletal system, NEC"",$4.39"
"Waly,""Unsp open wound of left thumb w/o damage to nail, init"",$1.42"
"Kristien,""Pathological fracture in other disease, right radius"",$0.32"
"Glenna,""Poisn by androgens and anabolic congeners, assault, sequela"",$7.24"
"Abigail,""Suprvsn of preg w poor reprodctv or obstet history, unsp tri"",$5.19"
"Flynn,""Disp fx of prox phalanx of l thm, subs for fx w delay heal"",$0.10"
Phillida,Other and unspecified injuries of ankle and foot,$2.09
"Abbi,""Anterior dislocation of left radial head, initial encounter"",$1.25"
"Jerrine,""Bent bone of l ulna, 7thJ"",$6.60"
Bari,Other periodontal diseases,$0.11
"Janela,""Nondisp oblique fx shaft of unsp rad, 7thE"",$6.72"
"Gino,""Nondisp oblique fx shaft of unsp tibia, 7thB"",$4.61"
Kelila,Occup of amblnc/fire eng injured in nontraffic accident,$2.22
Bethanne,Venous complications and hemorrhoids in pregnancy,$8.52
"Wright,""Nondisp fx of dist phalanx of r thm, subs for fx w malunion"",$7.00"
Tabor,Sprain of unspecified ligament of left ankle,$7.22
"Farrel,""Toxic effect of unsp gases, fumes and vapors, acc, subs"",$3.45"
"Leone,""Nondisp fx of lateral condyle of l femr, 7thD"",$5.27"
"Samara,""Sltr-haris Type I physl fx low end l tibia, 7thK"",$2.68"
Bryn,Encounter for removal of internal fixation device,$7.32
"Junette,""Poisoning by rifampicins, undetermined, sequela"",$1.27"
"Deina,""Lesion of sciatic nerve, unspecified lower limb"",$2.57"
"Wendeline,""Laceration of unsp musc/fasc/tend at shldr/up arm, left arm"",$4.72"
"Konrad,""Contusion of heart with hemopericardium, initial encounter"",$4.72"
"Ethelda,""Inj superficial vein at shldr/up arm, left arm, init"",$6.92"
"Nolana,""Puncture wound with foreign body, right lower leg, sequela"",$6.89"
"David,""Diffuse otitis externa, right ear"",$0.62"
"Micky,""Poisoning by other psychotropic drugs, assault, init encntr"",$2.31"
"Odo,""Other specified arthritis, unspecified site"",$0.25"
"Nertie,""Path fracture, unsp finger(s), subs for fx w malunion"",$2.63"
Vin,Displaced fracture of base of neck of left femur,$9.22
Gil,Laceration with foreign body of left elbow,$0.02
Jayne,Subcorneal pustular dermatitis,$9.20
"Jarrid,""Laceration of deep palmar arch of left hand, subs encntr"",$0.16"
Suzy,Erb's paralysis due to birth injury,$9.04
"Paxton,""Palindromic rheumatism, right hand"",$3.95"
Owen,Auditory recruitment,$5.94
"Dorine,""Acquired deformities of toe(s), unspecified, right foot"",$7.16"
"Ailyn,""Laceration of muscle, fascia and tendon of pelvis, init"",$7.55"
"Pamella,""Pathological fracture, left foot, subs for fx w routn heal"",$5.69"
Cale,Puncture wound without foreign body of unspecified ear,$2.75
Abbie,Localized vascularization of cornea,$0.02
"Berne,""Other physeal fracture of lower end of right fibula, sequela"",$8.76"
"Terrye,""Unsp fb in esophagus causing compression of trachea, init"",$8.54"
"Giacomo,""Milt op w direct blast effect of nuclear weapon, milt, subs"",$4.26"
"Gizela,""Toxic effect of ingested berries, undetermined, subs encntr"",$5.48"
"Karlis,""Drowning and submersion due to fishing boat sinking, init"",$6.18"
Lesley,Abnormal coagulation profile,$1.87
Koralle,Wear of artic bearing surface of internal prosth r knee jt,$5.40
"Byrom,""Disp fx of lunate, right wrist, subs for fx w routn heal"",$7.29"
"Prentiss,""Medial epicondylitis, unspecified elbow"",$0.50"
"Hakeem,""Unsp comp of cardiac and vascular prosth dev/grft, subs"",$0.84"
"Glynis,""Unsp intcrn inj w LOC w death d/t brain inj bf consc, init"",$1.66"
"Esmaria,""Allergic dermatitis of right eye, unspecified eyelid"",$2.29"
"Carolyn,""Disp fx of med cuneiform of r foot, subs for fx w nonunion"",$1.58"
Etta,Other sequelae of other nontraumatic intracranial hemorrhage,$5.98
"Jermaine,""Burn 1st deg mult sites of right lower limb, ex ank/ft, sqla"",$6.68"
"Minette,""Other superficial bite of vagina and vulva, sequela"",$6.08"
"Mikey,""Hereditary hemolytic anemia, unspecified"",$2.25"
"Damita,""Prsn brd/alit pk-up/van injured in clsn w rail trn/veh, init"",$3.46"
"Zared,""Corros unsp degree of unsp mult fngr, not inc thumb, init"",$2.35"
"Ardith,""Pressure ulcer of left buttock, stage 2"",$3.58"
"Ardis,""Erythema multiforme, unspecified"",$9.32"
"Darice,""Oth fx shaft of unsp tibia, 7thH"",$8.23"
"Darsey,""Sprain of oth parts of unspecified knee, init encntr"",$3.50"
"Ragnar,""Laceration w fb of right great toe w/o damage to nail, init"",$3.48"
"Hatty,""Nondisp fx of epiphy (separation) (upper) of unsp femr, 7thQ"",$0.89"
"Jillane,""Burn of unspecified degree of scalp [any part], sequela"",$6.37"
"Micheil,""Nondisp commnt fx shaft of humer, r arm, 7thG"",$7.38"
"Timmie,""Sltr-haris Type IV physl fx low end humer, l arm, 7thG"",$3.48"
"Kara-lynn,""Corrosion of unsp degree of unspecified ankle, sequela"",$5.05"
Odetta,Monoplegia of lower limb affecting right nondominant side,$2.42
"Abby,""Partial traumatic amputation at knee level, r low leg, init"",$7.28"
"Sheffie,""Disp fx of medial cuneiform of right foot, init for clos fx"",$3.78"
"Papageno,""Nondisp transverse fx shaft of l rad, 7thF"",$2.67"
Gilbert,Other superficial bite of left thigh,$0.27
Norman,Insect bite (nonvenomous) of wrist,$3.63
"Averil,""Displ commnt fx shaft of unsp femr, 7thE"",$2.35"
"West,""Adverse effect of anticholinesterase agents, init encntr"",$7.65"
May,Partial traumatic amputation at level between knee and ankle,$6.70
Sherry,Struck by falling object on fishing boat,$8.53
"Abbott,""Impetigo, unspecified"",$1.51"
"Olag,""Legal intervention, means unsp, bystander injured, sequela"",$2.65"
Myrwyn,Cereb infrc d/t unsp occls or stenos of right ant cereb art,$8.80
"Svend,""Nondisp oblique fx shaft of r ulna, 7thP"",$2.84"
"Buiron,""Nondisp oblique fx shaft of r rad, 7thR"",$2.07"
Lil,Car passenger injured in collision w van in traffic accident,$1.34
Elladine,Postproc hemor of a GU sys org following other procedure,$3.85
"Sella,""Pathological fracture, left femur, init encntr for fracture"",$6.79"
Rudiger,Disp fx of proximal phalanx of right lesser toe(s),$1.75
"Perrine,""Inj msl/tnd lng flxr msl toe at ank/ft level, l foot, subs"",$4.40"
Harri,Congenital heart block,$1.99
"Crystie,""Corrosion of unspecified degree of left ear, sequela"",$1.04"
"Luise,""Oth nondisp fx of lower end r humer, subs for fx w nonunion"",$8.80"
"Winny,""Burn of unspecified degree of unspecified wrist, sequela"",$3.59"
"Sarene,""Stress fracture, unspecified ankle, init encntr for fracture"",$8.59"
"Constantin,""Unsp inj flexor musc/fasc/tend l idx fngr at forarm lv, init"",$4.38"
"Ty,""Strain flexor musc/fasc/tend at forarm lv, left arm, sequela"",$3.11"
"Kristyn,""Major lacerat femor vein at hip and thi lev, left leg, init"",$1.00"
Hunfredo,Partial traumatic amputation of scrotum and testis,$0.06
"Jakob,""Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, init"",$8.18"
"Ange,""Terrorism w fire/hot subst, publ sfty offcl injured, sequela"",$6.24"
"Evita,""Unsp fx upr end l ulna, 7thJ"",$6.38"
Norma,Congenital stricture of urinary meatus,$0.77
"Laurianne,""Epidural hemor w LOC >24 hr w/o ret consc w surv, sequela"",$5.84"
"Calv,""Diabetes with mild nonp rtnop without macular edema, unsp"",$2.15"
"Harald,""Pseudopapilledema of optic disc, left eye"",$7.42"
"Yovonnda,""Disp fx of capitate bone, left wrist, subs for fx w malunion"",$1.05"
Carlie,Burn of third degree of left thigh,$6.47
"Alli,""Anterior dislocation of right radial head, initial encounter"",$5.44"
"Opal,""Unsp inj unsp msl/tnd at ank/ft level, left foot, sequela"",$2.06"
"Berri,""Cntct w oth power power hand tools and household mach, init"",$6.84"
"Tess,""Corrosion of unsp degree of right upper arm, subs encntr"",$2.07"
"Debera,""Scombroid fish poisoning, accidental (unintentional)"",$0.58"
"Waite,""Strain musc/tend ant grp at low leg level, unsp leg, init"",$5.45"
"Jarid,""Pathological fracture, left foot, subs for fx w routn heal"",$8.97"
"Stillmann,""Symblepharon, bilateral"",$4.72"
"Barbette,""Oth physeal fx upper end of humerus, left arm, sequela"",$6.35"
"Riki,""Toxic effect of beryllium and its compounds, undet, init"",$1.40"
"George,""Contracture, ankle and foot"",$5.94"
Fee,Polyosteoarthritis,$0.33
"Ebeneser,""Unsp car occ injured in clsn w pick-up truck nontraf, subs"",$9.62"
Gillan,Rheu arthrit of unsp shoulder w involv of organs and systems,$4.31
"Mano,""Burn of first deg mult right fingers (nail), inc thumb, init"",$7.97"
"Dyna,""Nondisp fx of greater trochanter of unsp femur, sequela"",$0.23"
"Daryl,""Displ transverse fx shaft of r fibula, 7thM"",$7.96"
"Sterne,""Disp fx of body of unsp calcaneus, subs for fx w nonunion"",$8.37"
Waiter,Dieulafoy lesion (hemorrhagic) of stomach and duodenum,$9.59
"Gussie,""Other infective bursitis, unspecified knee"",$8.01"
"Marybelle,""Contusion of eyeball and orbital tissues, left eye, sequela"",$1.91"
"Joey,""Laceration of unsp blood vessel at forarm lv, unsp arm, init"",$0.36"
"Caroljean,""Displaced spiral fracture of shaft of radius, left arm, init"",$9.37"
Adoree,Acquired absence of right ankle,$1.18
Sheila-kathryn,Puerperal septic thrombophlebitis,$5.31
"Alard,""Disp fx of med wall of left acetab, subs for fx w nonunion"",$5.32"
"Cristina,""Breakdown of implnt elec nstim of prph nrv lead, sequela"",$3.50"
"Waldon,""Poisoning by opium, assault, initial encounter"",$5.06"
"Fawn,""Brkdwn unsp cardiac and vascular devices and implnt, sequela"",$4.27"
"Emalee,""Disp fx of coronoid pro of unsp ulna, 7thN"",$3.97"
Marissa,Osseous stenosis of neural canal of sacral region,$4.13
"Jarret,""Fatigue fx vert, cervicothor rgn, subs for fx w routn heal"",$6.11"
Brand,Unspecified injury of right lower leg,$8.69
"Katharine,""Scombroid fish poisoning, intentional self-harm, init encntr"",$8.68"
"Sioux,""Posterior corneal pigmentations, bilateral"",$2.23"
Gaspar,Cytomegaloviral mononucleosis with polyneuropathy,$4.02
Danyette,Other specified necrotizing vasculopathies,$0.92
"Mychal,""Legal intervnt w oth sharp objects, law enforc offl injured"",$2.95"
"Eleonora,""Oth shellfish poisoning, intentional self-harm, init encntr"",$7.20"
"Marshal,""Person outsd pk-up/van inj in clsn w hv veh nontraf, sequela"",$0.44"
"Katherine,""Prsn brd/alit pedl cyc injured in clsn w rail trn/veh, subs"",$4.78"
"Lezley,""Nondisp commnt fx shaft of rad, unsp arm, 7thK"",$2.35"
"Wayland,""Toxic effect of cadmium and its compnd, self-harm, sequela"",$5.81"
"Chrysa,""Unsp injury of anterior tibial artery, right leg, sequela"",$0.10"
"Randene,""Nondisp transverse fx shaft of r ulna, 7thQ"",$6.68"
"Demetris,""Unsp inj unsp blood vess at hip and thi lev, unsp leg, subs"",$1.04"
Killie,Other secondary osteonecrosis of unspecified radius,$2.72
Sacha,Type 2 diabetes with stable prolif diabetic retinopathy,$3.67
Gussy,Underdosing of emetics,$0.35
"Lorri,""Unsp GU tract infection in pregnancy, unsp trimester"",$7.13"
"Shanan,""Brkdwn implanted electronic stimulator of nervous sys, init"",$9.95"
"Anthia,""Pregnancy related peripheral neuritis, third trimester"",$1.27"
"Gratia,""Disp fx of epiphy (separation) (upper) of r femr, 7thH"",$2.55"
"Erin,""Superficial foreign body of right upper arm, sequela"",$6.93"
"Abelard,""Sprain of other ligament of left ankle, sequela"",$9.60"
"Steve,""Unspecified open wound of unspecified ear, initial encounter"",$8.85"
"Kristi,""Lead-induced chronic gout, right hip, with tophus (tophi)"",$1.50"
"Molly,""Torus fx lower end of right tibia, subs for fx w malunion"",$9.44"
"Dion,""Disp fx of unsp radial styloid pro, 7thF"",$8.44"
"Morley,""Sexual abuse complicating pregnancy, third trimester"",$2.23"
"Amalita,""Hereditary nephropathy, NEC w unsp morphologic lesions"",$8.59"
"Tawsha,""Chronic active hepatitis, not elsewhere classified"",$3.39"
"Bili,""Migraine without aura, intractable"",$3.67"
"Carmela,""Drug/chem diab w prolif diab rtnop w trctn dtch macula, unsp"",$3.26"
"Ricca,""Nondisp apophyseal fx l femr, 7thH"",$0.64"
"Isac,""Persons encntr hlth serv for spec proc & trtmt, not crd out"",$0.46"
Gizela,Displaced fracture of proximal phalanx of left ring finger,$8.67
"Darryl,""Nondisp unsp fx unsp great toe, subs for fx w delay heal"",$1.72"
Merwin,Injury of radial nerve at wrist and hand level of right arm,$9.19
"Ariella,""Labor and del comp by oth cord entangle, w comprsn, fetus 5"",$8.96"
Rog,Superficial frostbite of right knee and lower leg,$1.65
"Ellie,""Crushing injury of left knee, initial encounter"",$9.93"
"Beverley,""Concussion and edema of lumbar spinal cord, subs encntr"",$6.98"
Martita,Family history of malignant neoplasm of urinary tract,$6.44
Chandra,Underdosing of iminostilbenes,$3.24
Neely,Frostbite with tissue necrosis of left foot,$3.00
"Ruthie,""Lymphoblastic lymphoma, nodes of ing region and lower limb"",$4.23"
"Quinlan,""Decreased fetal movements, unsp trimester, unsp"",$8.83"
"Mackenzie,""Lac w/o fb of r bk wl of thorax w/o penet thor cavity, init"",$6.29"
"Agnesse,""Laceration w/o fb of left cheek and TMJ area, sequela"",$8.99"
Athene,Other mechanical strabismus,$1.94
"Marietta,""Mech compl of intraperitoneal dialysis catheter, subs encntr"",$2.35"
"Burg,""Path fx in neopltc disease, r tibia, subs for fx w malunion"",$0.69"
"Hester,""Contact with needle (sewing), initial encounter"",$7.37"
